,date,words
42,2023-11-26 23:51,"['人质', '视频', '脸', '人质', '赞誉', '官方', '人质', '禁声', '恶魔', '博', '视频']"
43,2023-11-16 12:12,"['实地', '医院', '人道主义', '利用', '医院', '医院', '中心', '无辜', '平民', '战争', '人民', '总领事馆', '博', '视频']"
44,2023-11-25 23:54,"['人民', '愿巴', '箭弹', '系统', '军报', '人民', '火箭弹', '平民', '命令', '世人']"
45,2023-11-27 23:38,"['现场', '时间', '会见', '总理', '参观', '现场报道', '平息', '外界', '社交', '平台', '反犹太', '阴谋论', '防弹衣', '参观', '村庄', '人', '办公室', '视频', '人', '人员', '村庄', '房屋', '废墟', '参观', '人类', '罪行', '时间', '战争', '理由', '表示同意', '人', '平民', '总统', '会面']"
46,2023-11-28 20:00,"['外交政策', '代表', '定居点', '国际', '人道主义法', '人', '话', '原帖', '事儿']"
47,2023-11-28 23:26,"['人', '话', '磨嘴皮']"
48,2023-11-24 23:57,"['世道', '恶人', '世人', '世人']"
49,2023-11-26 23:51,"['外长', '会议', '人质']"
50,2023-11-25 23:53,"['长镜头', '视角', '汗', '大象', '军事', '视频']"
51,2023-11-27 23:38,"['头巾', '水母', '水母', '姐', '地区冲突', '网', '新闻']"
52,2023-11-23 23:59,"['媒', '视角', '参观', '医院', '指挥部', '记者', '医院', '记者', '照片', '影片', '画面', '录音', '机构', '黄媒', '博', '视频']"
53,2023-11-24 23:51,"['地带', '生效', '新闻', '地带', '生效']"
54,2023-11-23 12:44,"['现状', '军事', '检查站', '待遇', '人', '网友', '品茶', '酒', '军事', '品茶', '酒', '博', '视频']"
55,2023-11-26 23:51,"['物', '小店']"
56,2023-11-25 22:30,"['网友', '时间', '人民', '视频']"
57,2023-11-27 23:34,"['军事', '哨位', '博', '视频']"
58,2023-11-23 23:58,"['警告', '军事', '新闻', '军事', '信仰', '博', '视频']"
59,2023-11-23 00:00,"['人', '情况', '人员', '协议', '协议', '名', '妇女儿童', '地带', '证实', '消息', '共识', '时间', '记者', '国际', '博', '视频']"
60,2023-11-24 23:50,"['推友', '侵略者', '孩子', '干嘛', '黄媒', '博', '视频']"
61,2023-11-26 22:15,"['人', '心酸', '记者', '回家', '孩子', '爸爸', '夜尘', '锋刃', '博', '视频']"
62,2023-11-25 23:45,"['转机', '前奏', '试点', '外媒', '全球', '造车', '势力', '情况', '高楼', '营业', '宇宙', '飞', '火凤凰', '博', '视频']"
63,2023-11-27 23:34,"['声明', '民生', '基础设施', '目标', '后果', '冲突地区', '机场', '主权', '全世界', '周边国家', '地区', '地区', '周边国家', '人民', '财产']"
64,2023-11-23 23:53,"['建筑', '内', '摄像头', '名', '士兵', '旅', '战士', '天兵', '缘', '木球', '视频']"
65,2023-11-22 23:59,"['时间', '人', '事', '人', '战争', '战略目标', '框架', '公平合理', '领土', '人', '能力', '地球', '形势', '局势', '世界', '实力', '世界', '能胜', '屈人', '兵', '战争', '境界', '台湾同胞', '书']"
66,2023-11-24 23:50,"['人质', '媒体报道', '武装', '分子', '地带', '生效', '天', '财产损失', '炮火', '时间', '时', '时间', '名', '人质', '妇女儿童', '监狱', '人', '物资', '人道主义', '危机', '战争', '智库']"
67,2023-11-25 23:49,"['白糖', '菜刀', '身份证', '照片', '形势', '物品', '科学', '博主', '白糖', '爆炸物', '原料', '法律法规']"
