,date,words
15,2023-08-21 18:52,"['书记', '政府', '被告方', '被告', '书记', '方巷', '村霸', '市长', '书记', '医药', '风暴', '被告', '新闻', '大学', '明镜', '博', '视频']"
16,2023-10-31 11:14,"['方人', '时间', '局势', '方', '敌对行动', '人', '全力', '局势', '方', '国际', '人道', '法', '义务', '人', '灾难', '外交', '人员', '对话', '空间', '危机', '政治', '轨道', '当事方', '地缘', '政治', '考量', '战争', '作出努力', '代表', '人', '民众', '国际', '人道', '法', '重要性', '法治', '开绿灯', '全世界', '目光', '历史记录', '国际', '时讯', '国际', '时讯', '视频']"
17,2023-10-24 07:47,"['毽客', '视线', '高层', '底层', '屌丝', '业绩', '地带', '人', '种地', '高楼', '供水', '妹币', '农村', '城镇居民', '平均收入', '统计数据', '城镇居民', '平均工资', '小孩', '领', '美金', '人口', '儿童', '钱', '事生娃', '武器', '图', '博', '同情', '毽客', '逆风', '博', '视频']"
18,2023-09-04 06:48,"['书记', '政府', '被告方', '被告', '被告', '书记', '方巷', '村霸', '新闻', '市长', '书记', '医药', '风暴', '医药', '晚会', '大学', '网页', '链接', '明镜', '博', '视频']"
19,2023-09-17 22:59,"['书记', '政府', '被告方', '被告', '被告', '书记', '方巷', '村霸', '新闻', '市长', '书记', '医药', '晚会', '大学', '网页', '链接', '明镜', '博', '视频']"
20,2023-10-28 20:29,"['驻华大使', '事儿', '博', '视频']"
21,2023-10-19 08:50,"['军阀', '军队']"
22,2023-10-20 22:55,"['农田', '军事', '时间', '总台', '记者', '前线', '农田', '军事', '前线', '推土机', '火箭弹', '外界', '地面', '军事', '地带', '人道主义', '危机', '形势', '总台', '记者', '新闻', '博', '视频']"
23,2021-06-16 18:00,"['双', '视角', '简史', '整理', '渊源', '青蛙', '刀', '博', '视频']"
24,2023-10-26 08:26,"['人', '战狼', '外交', '维权', '狼', '秘书长', '疯狗', '外交', '代表', '秘书长']"
25,2023-10-28 11:35,"['文学', '书单', '博', '视频']"
26,2023-10-24 17:10,"['国', '新闻', '博', '视频']"
27,2023-10-29 14:31,"['战争', '人', '博', '视频']"
